"","tg1","tg2","tg3","tg4","tg5","tg6","tg7","tg8","tg9","tg10","tg11","tg12","tg13","tg14","tg15","tg16","tg17","tg18","tg19","tg20","tg21","tg22","tg23","tg24","tg25","tg26","tg27","tg28","tg29","tg30","tg31","tg32","tg33","tg34","tg35","tg36","tg37","tg38","tg39","tg40","tg41","tg42","elev","alt","thick"
"1",1.53852e-06,1.26205e-06,9.790597e-07,7.305722e-07,5.449536e-07,4.121565e-07,3.101776e-07,2.316889e-07,3.283081e-07,1.740848e-07,2.747353e-07,2.266883e-07,1.280572e-07,1.841114e-07,1.472532e-07,9.483954e-08,1.164595e-07,7.025566e-08,9.130027e-08,7.086785e-08,4.782313e-08,5.205436e-08,3.223296e-08,3.76212e-08,2.271666e-08,2.846264e-08,1.848791e-08,2.249443e-08,1.26442e-08,1.662098e-08,8.17593e-09,1.168698e-08,5.254802e-09,8.039693e-09,5.174269e-09,3.202463e-09,1.939658e-09,1.126599e-09,6.4122e-10,3.624378e-10,2.101528e-10,1.241326e-10,23,39.88,6.34
"2",1.828891e-06,1.488802e-06,1.115871e-06,8.160109e-07,6.00509e-07,4.486287e-07,3.355082e-07,2.561102e-07,3.564624e-07,1.919831e-07,2.975107e-07,2.455736e-07,1.393901e-07,2.000215e-07,1.60938e-07,1.063782e-07,1.28344e-07,7.800078e-08,1.018007e-07,7.994345e-08,5.575278e-08,5.927787e-08,3.816865e-08,4.305787e-08,2.721494e-08,3.268691e-08,2.089848e-08,2.555697e-08,1.441064e-08,1.856738e-08,9.656794e-09,1.271271e-08,5.987921e-09,8.470169e-09,5.231021e-09,3.130497e-09,1.829535e-09,1.053933e-09,6.057464e-10,3.399067e-10,1.963183e-10,1.189016e-10,17,38.29,3.84
"3",9.46821e-07,7.361662e-07,5.583443e-07,4.392058e-07,3.191224e-07,2.473375e-07,1.831856e-07,1.459669e-07,2.059232e-07,1.057005e-07,1.746924e-07,1.475041e-07,8.536593e-08,1.222426e-07,9.94177e-08,5.588088e-08,8.069681e-08,4.943251e-08,6.500226e-08,5.190866e-08,3.169237e-08,3.921762e-08,2.200746e-08,2.916628e-08,1.693485e-08,2.203809e-08,1.290113e-08,1.796836e-08,8.943031e-09,1.346831e-08,5.758194e-09,9.573027e-09,4.212446e-09,6.632241e-09,4.278129e-09,2.609753e-09,1.541771e-09,8.982667e-10,5.046155e-10,2.721479e-10,1.510396e-10,8.734248e-11,8,47.26,1.02
"4",1.91566e-06,1.560103e-06,1.185774e-06,8.840507e-07,6.553241e-07,4.960311e-07,3.761728e-07,2.786189e-07,3.914757e-07,2.058224e-07,3.263094e-07,2.683365e-07,1.537193e-07,2.175038e-07,1.739953e-07,1.137775e-07,1.377889e-07,8.312107e-08,1.0851e-07,8.474175e-08,5.803703e-08,6.247047e-08,3.997648e-08,4.510322e-08,2.972668e-08,3.402426e-08,2.143744e-08,2.681684e-08,1.572482e-08,1.955642e-08,9.912069e-09,1.346985e-08,6.575732e-09,9.07363e-09,5.678757e-09,3.377318e-09,1.980168e-09,1.122937e-09,6.199245e-10,3.412719e-10,1.919429e-10,1.044635e-10,11,36.98,5.33
"5",3.52439e-06,3.000795e-06,2.323383e-06,1.813538e-06,1.357097e-06,1.044662e-06,8.020007e-07,6.052219e-07,8.47326e-07,4.605478e-07,7.162354e-07,5.987542e-07,3.490771e-07,4.943271e-07,4.045404e-07,2.682262e-07,3.294085e-07,2.052707e-07,2.675174e-07,2.181815e-07,1.501329e-07,1.658811e-07,1.069663e-07,1.2276e-07,8.090079e-08,9.414378e-08,6.20109e-08,7.400487e-08,4.25267e-08,5.378242e-08,2.793209e-08,3.670457e-08,1.792884e-08,2.412389e-08,1.467037e-08,8.555281e-09,4.877527e-09,2.704707e-09,1.415856e-09,7.2171e-10,3.675909e-10,1.864585e-10,20,30.21,2.71
"6",1.26676e-06,1.064979e-06,8.170849e-07,6.302657e-07,4.857047e-07,3.761339e-07,2.914384e-07,2.192811e-07,2.987891e-07,1.680723e-07,2.546348e-07,2.14159e-07,1.271097e-07,1.77804e-07,1.455972e-07,9.506006e-08,1.181221e-07,7.303599e-08,9.533446e-08,7.633908e-08,5.185573e-08,5.997094e-08,3.619462e-08,4.560896e-08,2.744814e-08,3.64258e-08,2.001453e-08,3.019765e-08,1.673975e-08,2.385918e-08,1.20011e-08,1.827101e-08,8.582954e-09,1.343196e-08,9.572421e-09,6.550221e-09,4.389082e-09,2.864792e-09,1.753056e-09,1.042653e-09,6.21099e-10,3.577871e-10,22,42.43,3.28
"7",2.203433e-06,1.812611e-06,1.379684e-06,1.058418e-06,8.131099e-07,6.085794e-07,4.852424e-07,3.602514e-07,5.212581e-07,2.764666e-07,4.420537e-07,3.70566e-07,2.086708e-07,3.060709e-07,2.500968e-07,1.581811e-07,2.03882e-07,1.213664e-07,1.628062e-07,1.306996e-07,8.396639e-08,9.54352e-08,5.900717e-08,7.21646e-08,4.448363e-08,5.752164e-08,3.531452e-08,4.747053e-08,2.664833e-08,3.687386e-08,1.747054e-08,2.726941e-08,1.278823e-08,2.063668e-08,1.438814e-08,9.194824e-09,5.818349e-09,3.682237e-09,2.096753e-09,1.190551e-09,6.886471e-10,4.031928e-10,4,34.86,2.26
"8",3.574522e-06,3.030367e-06,2.310132e-06,1.750767e-06,1.320491e-06,9.904916e-07,7.644334e-07,5.785744e-07,7.993003e-07,4.362843e-07,6.758843e-07,5.647728e-07,3.260144e-07,4.645669e-07,3.770809e-07,2.460798e-07,3.028991e-07,1.821552e-07,2.416335e-07,1.912484e-07,1.294223e-07,1.439047e-07,8.936249e-08,1.071866e-07,6.8787e-08,8.397502e-08,5.235784e-08,6.80148e-08,3.818882e-08,5.193162e-08,2.631281e-08,3.785338e-08,1.798357e-08,2.6971e-08,1.786838e-08,1.134398e-08,6.981764e-09,4.190535e-09,2.421111e-09,1.390318e-09,8.088317e-10,4.55827e-10,5,29.84,2.26
"9",2.927982e-06,2.471325e-06,1.9324e-06,1.424327e-06,1.14248e-06,8.784116e-07,6.788374e-07,5.128512e-07,7.12956e-07,3.912608e-07,6.043087e-07,5.059644e-07,2.948801e-07,4.174133e-07,3.399126e-07,2.194205e-07,2.738039e-07,1.655689e-07,2.19163e-07,1.702396e-07,1.16512e-07,1.284921e-07,8.098748e-08,9.611504e-08,6.102167e-08,7.566489e-08,4.764293e-08,6.147918e-08,3.478454e-08,4.715097e-08,2.351086e-08,3.45479e-08,1.633282e-08,2.476744e-08,1.642467e-08,1.039178e-08,6.415862e-09,3.817107e-09,2.172822e-09,1.221695e-09,6.849591e-10,3.780764e-10,20,27.19,2.82
"10",1.49912e-06,1.312886e-06,1.03294e-06,8.013126e-07,6.05514e-07,4.784167e-07,3.674947e-07,2.86898e-07,4.023637e-07,2.198699e-07,3.441379e-07,2.91209e-07,1.70047e-07,2.431378e-07,2.007087e-07,1.325074e-07,1.641859e-07,9.977036e-08,1.335934e-07,1.079783e-07,7.199591e-08,8.302539e-08,5.225676e-08,6.295121e-08,4.004963e-08,4.959717e-08,3.138391e-08,4.034101e-08,2.242457e-08,3.067284e-08,1.542626e-08,2.217714e-08,1.033168e-08,1.561282e-08,1.022046e-08,6.438186e-09,3.972862e-09,2.362769e-09,1.346255e-09,7.658068e-10,4.160196e-10,2.293373e-10,2,41.39,1.05
"11",3.452864e-06,2.926552e-06,2.284192e-06,1.737912e-06,1.288219e-06,9.924406e-07,7.599131e-07,5.78465e-07,8.042981e-07,4.400185e-07,6.813016e-07,5.706424e-07,3.342319e-07,4.712965e-07,3.844264e-07,2.506024e-07,3.103708e-07,1.88152e-07,2.487226e-07,1.974748e-07,1.317911e-07,1.488611e-07,9.438511e-08,1.111378e-07,6.924114e-08,8.721712e-08,5.404912e-08,7.082168e-08,3.978208e-08,5.446684e-08,2.760249e-08,4.017964e-08,1.922839e-08,2.908172e-08,1.968917e-08,1.275102e-08,8.107193e-09,4.996789e-09,2.940585e-09,1.710317e-09,9.944641e-10,5.731594e-10,3,28.71,0.4
"12",2.194859e-06,1.899015e-06,1.497419e-06,1.154958e-06,8.880995e-07,6.858966e-07,5.261376e-07,4.006684e-07,5.576597e-07,3.018389e-07,4.71366e-07,3.938344e-07,2.226272e-07,3.244814e-07,2.6437e-07,1.723889e-07,2.134362e-07,1.275977e-07,1.714978e-07,1.36926e-07,9.161818e-08,1.039015e-07,6.480678e-08,7.799779e-08,4.897525e-08,6.141751e-08,3.745983e-08,4.989757e-08,2.782771e-08,3.810388e-08,2.025842e-08,2.775813e-08,1.32971e-08,1.960461e-08,1.291838e-08,8.156112e-09,5.027243e-09,2.996963e-09,1.706947e-09,9.681888e-10,5.547325e-10,3.094137e-10,3,34.08,0.35
"13",1.03022e-06,8.62816e-07,6.953038e-07,5.329791e-07,4.225392e-07,3.304294e-07,2.645199e-07,2.070683e-07,2.839432e-07,1.573835e-07,2.447164e-07,2.086706e-07,1.20298e-07,1.760676e-07,1.472651e-07,9.925575e-08,1.221814e-07,7.426792e-08,1.008531e-07,8.232766e-08,5.656575e-08,6.379314e-08,3.952175e-08,4.829285e-08,3.048171e-08,3.78181e-08,2.315796e-08,3.043446e-08,1.698907e-08,2.282797e-08,1.161242e-08,1.619449e-08,1.12352e-08,7.237021e-09,4.465075e-09,2.709558e-09,1.5866e-09,9.03915e-10,5.294617e-10,3.152509e-10,1.762335e-10,0.047255,2,46.73,0
"14",4.439479e-06,3.652939e-06,2.779449e-06,2.064185e-06,1.517282e-06,1.125872e-06,8.306446e-07,6.088825e-07,8.69748e-07,4.479238e-07,7.195297e-07,5.888324e-07,3.325407e-07,4.754457e-07,3.79578e-07,2.470672e-07,3.001893e-07,1.799619e-07,2.351054e-07,1.828785e-07,1.247133e-07,1.341226e-07,8.535019e-08,9.661346e-08,6.211337e-08,7.311749e-08,4.640773e-08,5.720825e-08,3.233437e-08,4.166998e-08,2.176411e-08,2.875337e-08,1.371612e-08,1.940312e-08,1.221978e-08,7.414716e-09,4.427909e-09,2.559087e-09,1.410818e-09,7.580802e-10,4.051961e-10,2.165745e-10,21,28.7,1.38
"15",2.640748e-06,2.162189e-06,1.665193e-06,1.24184e-06,9.378697e-07,7.142542e-07,5.570998e-07,4.217187e-07,5.839792e-07,3.178659e-07,4.935872e-07,4.122334e-07,2.387946e-07,3.391501e-07,2.751202e-07,1.785664e-07,2.204204e-07,1.360252e-07,1.74774e-07,1.366733e-07,9.368415e-08,9.956473e-08,6.43189e-08,7.189946e-08,4.683563e-08,5.449147e-08,3.557111e-08,4.26505e-08,2.435103e-08,3.098848e-08,1.605638e-08,2.145064e-08,1.007848e-08,1.429575e-08,8.739521e-09,5.110795e-09,2.94811e-09,1.659264e-09,9.017634e-10,5.085262e-10,2.883463e-10,1.469186e-10,18,32,2.75
"16",2.894444e-06,2.320214e-06,1.750861e-06,1.291794e-06,9.549804e-07,7.116005e-07,5.304008e-07,3.921924e-07,5.518262e-07,2.921696e-07,4.58418e-07,3.770187e-07,2.163224e-07,3.058698e-07,2.453945e-07,1.61083e-07,1.949397e-07,1.177319e-07,1.541994e-07,1.207099e-07,8.187243e-08,8.9369e-08,5.647372e-08,6.530132e-08,4.11548e-08,5.015228e-08,3.198531e-08,3.989078e-08,2.263449e-08,2.96368e-08,1.524301e-08,2.091587e-08,1.003216e-08,1.442304e-08,9.207226e-09,5.640246e-09,3.357293e-09,1.933236e-09,1.060613e-09,5.632793e-10,3.148048e-10,1.629278e-10,16,31.47,4.78
"17",9.499061e-07,8.248205e-07,6.410236e-07,4.933563e-07,3.73592e-07,2.878323e-07,2.197697e-07,1.672402e-07,2.348073e-07,1.271053e-07,2.000738e-07,1.684038e-07,1.00189e-07,1.399819e-07,1.152605e-07,7.48897e-08,9.439389e-08,5.760963e-08,7.705054e-08,6.26711e-08,4.222458e-08,4.875668e-08,3.102717e-08,3.764154e-08,2.34378e-08,3.009756e-08,1.878987e-08,2.462151e-08,1.402444e-08,1.882406e-08,9.856054e-09,1.363588e-08,6.314992e-09,9.560456e-09,6.235635e-09,3.889717e-09,2.40854e-09,1.469618e-09,8.824467e-10,5.27482e-10,3.182696e-10,1.881213e-10,3,48.04,0
"18",1.467098e-06,1.275222e-06,9.848407e-07,7.471393e-07,5.757625e-07,4.47343e-07,3.501674e-07,2.688205e-07,3.748368e-07,2.071478e-07,3.205995e-07,2.712874e-07,1.577664e-07,2.26183e-07,1.865254e-07,1.203687e-07,1.52469e-07,9.206386e-08,1.238521e-07,1.000104e-07,6.681949e-08,7.710423e-08,4.760503e-08,5.888416e-08,3.689221e-08,4.662239e-08,2.876221e-08,3.847607e-08,2.233695e-08,2.984104e-08,1.544725e-08,2.211936e-08,1.026388e-08,1.595785e-08,1.076215e-08,6.921727e-09,4.331509e-09,2.594249e-09,1.474304e-09,8.097629e-10,4.456603e-10,2.390233e-10,3,40.83,0
"19",3.819456e-06,3.163813e-06,2.444068e-06,1.798084e-06,1.386818e-06,1.053417e-06,7.939848e-07,5.924931e-07,8.389458e-07,4.402376e-07,7.024944e-07,5.81375e-07,3.24116e-07,4.740898e-07,3.821843e-07,2.451285e-07,3.054201e-07,1.784885e-07,2.429681e-07,1.897464e-07,1.286768e-07,1.430504e-07,8.994406e-08,1.069008e-07,6.789383e-08,8.387715e-08,5.204585e-08,6.780723e-08,3.782473e-08,5.132041e-08,2.610305e-08,3.674348e-08,1.7452e-08,2.521236e-08,1.602372e-08,9.633989e-09,5.607483e-09,3.084144e-09,1.61437e-09,8.15831e-10,4.152195e-10,2.041544e-10,13,30.15,0.76
"20",2.119998e-06,1.801766e-06,1.424608e-06,1.129768e-06,8.659222e-07,6.770146e-07,5.233912e-07,4.01734e-07,5.463642e-07,3.016343e-07,4.635261e-07,3.875124e-07,2.265809e-07,3.181543e-07,2.564462e-07,1.684576e-07,2.036131e-07,1.235986e-07,1.598389e-07,1.238444e-07,8.59288e-08,9.014799e-08,5.72756e-08,6.425578e-08,4.106586e-08,4.810754e-08,3.112463e-08,3.726775e-08,2.062193e-08,2.685372e-08,1.303539e-08,1.82815e-08,8.169817e-09,1.22414e-08,7.690613e-09,4.763965e-09,2.918396e-09,1.757921e-09,1.02112e-09,5.833313e-10,3.41919e-10,1.902194e-10,4,35.22,0.57
"21",2.023389e-06,1.701736e-06,1.324985e-06,1.007596e-06,7.741766e-07,5.969248e-07,4.670106e-07,3.563894e-07,5.120984e-07,2.753085e-07,4.365829e-07,3.687686e-07,2.152874e-07,3.077733e-07,2.541043e-07,1.597068e-07,2.084171e-07,1.273753e-07,1.702393e-07,1.340106e-07,9.185718e-08,1.03556e-07,6.624273e-08,7.876188e-08,5.113246e-08,6.187918e-08,4.071576e-08,5.007296e-08,2.919857e-08,3.771498e-08,1.956365e-08,2.684562e-08,1.318462e-08,1.897367e-08,1.207334e-08,7.325272e-09,4.393928e-09,2.530593e-09,1.459615e-09,8.464067e-10,5.130992e-10,3.000972e-10,4,34.9,1.03
"22",2.343626e-06,1.897901e-06,1.440872e-06,1.067579e-06,7.950597e-07,5.987533e-07,4.467859e-07,3.329202e-07,4.660231e-07,2.478135e-07,3.875101e-07,3.181875e-07,1.82945e-07,2.573586e-07,2.04676e-07,1.31732e-07,1.607654e-07,9.630808e-08,1.25598e-07,9.67249e-08,6.629047e-08,7.052975e-08,4.474873e-08,5.076949e-08,3.272148e-08,3.859564e-08,2.463947e-08,3.039272e-08,1.702936e-08,2.237283e-08,1.135223e-08,1.563694e-08,7.347134e-09,1.068018e-08,6.765998e-09,4.139531e-09,2.490401e-09,1.450473e-09,8.241823e-10,4.574887e-10,2.505522e-10,1.368784e-10,22,32.63,5.8
"23",6.116141e-07,5.02609e-07,3.887101e-07,3.001955e-07,2.388518e-07,1.807613e-07,1.401724e-07,1.090275e-07,1.496578e-07,8.535193e-08,1.278694e-07,1.076922e-07,6.5793e-08,8.96976e-08,7.39072e-08,4.612941e-08,6.030034e-08,3.759792e-08,4.864662e-08,3.912782e-08,2.637325e-08,2.982286e-08,1.976031e-08,2.229422e-08,1.520134e-08,1.747629e-08,1.077854e-08,1.395875e-08,8.104045e-09,1.042797e-08,5.769166e-09,7.324945e-09,3.828806e-09,5.054747e-09,3.173236e-09,1.937855e-09,1.162469e-09,6.976145e-10,4.126765e-10,2.457865e-10,1.577018e-10,8.807991e-11,15,54.21,4.58
"24",2.027436e-06,1.64418e-06,1.236422e-06,9.247708e-07,6.910516e-07,5.24118e-07,3.910745e-07,3.010782e-07,4.209147e-07,2.23634e-07,3.518075e-07,2.899665e-07,1.635091e-07,2.350444e-07,1.871503e-07,1.207307e-07,1.468725e-07,8.553349e-08,1.128071e-07,8.684647e-08,5.936962e-08,6.313931e-08,3.994931e-08,4.539254e-08,2.91332e-08,3.451708e-08,2.214246e-08,2.720627e-08,1.577099e-08,2.010396e-08,1.063117e-08,1.409512e-08,6.61009e-09,9.674051e-09,6.243722e-09,3.82036e-09,2.290141e-09,1.3435e-09,7.801237e-10,4.364788e-10,2.451469e-10,1.363149e-10,23,34.81,5.2
"25",5.136826e-06,4.097466e-06,3.042214e-06,2.216676e-06,1.603393e-06,1.163586e-06,8.526878e-07,6.186596e-07,8.8557e-07,4.429959e-07,7.20989e-07,5.788942e-07,3.143756e-07,4.563236e-07,3.548441e-07,2.282564e-07,2.726355e-07,1.591119e-07,2.074475e-07,1.576171e-07,1.08744e-07,1.128262e-07,7.225517e-08,7.966965e-08,5.069808e-08,5.943115e-08,3.779919e-08,4.608552e-08,2.659942e-08,3.315769e-08,1.752296e-08,2.254834e-08,1.087588e-08,1.499098e-08,9.268213e-09,5.487845e-09,3.175521e-09,1.808224e-09,9.916166e-10,5.330635e-10,2.934371e-10,1.57616e-10,21,24.15,5.39
"26",4.427538e-06,3.487746e-06,2.617554e-06,1.957974e-06,1.46359e-06,1.096874e-06,8.15517e-07,5.837378e-07,8.187582e-07,4.082264e-07,6.68303e-07,5.321606e-07,2.790362e-07,4.112494e-07,3.09028e-07,1.916564e-07,2.272945e-07,1.271434e-07,1.647016e-07,1.176579e-07,7.839331e-08,7.851078e-08,4.840156e-08,5.173581e-08,3.198175e-08,3.680409e-08,2.339504e-08,2.757834e-08,1.51503e-08,1.933405e-08,9.906355e-09,1.2789e-08,5.636275e-09,8.396871e-09,5.119746e-09,3.03711e-09,1.820404e-09,1.066262e-09,6.163662e-10,3.575343e-10,2.045211e-10,1.13012e-10,18,30.8,5.45
"27",2.69467e-06,2.214458e-06,1.715597e-06,1.294679e-06,9.872969e-07,7.493495e-07,5.663248e-07,4.225409e-07,5.85075e-07,3.088918e-07,4.850929e-07,3.926436e-07,2.16721e-07,3.087247e-07,2.358745e-07,1.476438e-07,1.762345e-07,1.021308e-07,1.295682e-07,9.386285e-08,6.420322e-08,6.335388e-08,3.934781e-08,4.206378e-08,2.728865e-08,3.005576e-08,1.914205e-08,2.249539e-08,1.266121e-08,1.568303e-08,8.307011e-09,1.03384e-08,4.594988e-09,6.679578e-09,4.021247e-09,2.379152e-09,1.411139e-09,8.438591e-10,4.94452e-10,2.884981e-10,1.652023e-10,9.084614e-11,16,32.63,5.27
"28",2.59241e-06,2.074822e-06,1.559954e-06,1.151439e-06,8.583307e-07,6.443123e-07,4.834791e-07,3.589271e-07,5.009634e-07,2.67988e-07,4.179238e-07,3.445474e-07,1.967849e-07,2.799746e-07,2.244358e-07,1.446277e-07,1.778261e-07,1.086268e-07,1.401311e-07,1.092714e-07,7.555703e-08,8.069942e-08,5.117692e-08,5.898979e-08,3.760962e-08,4.541572e-08,2.984187e-08,3.618924e-08,2.086012e-08,2.698244e-08,1.447327e-08,1.907092e-08,8.977354e-09,1.315625e-08,8.389661e-09,5.131143e-09,3.074516e-09,1.769592e-09,9.582121e-10,5.203594e-10,2.785454e-10,1.47494e-10,15,32.16,5.55
